,Unnamed: 0,역명,설치대수,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,연도,오염_등급,오염_점수,공기청정기_군집,공기청정기_효용_상태
245,24,사당,30,47.7,494.0,5.8,0.7,81068.0,123,0,41.089362250293206,1,부족
246,24,사당,30,28.8,491.0,5.0,0.3,104301.0,1123,0,33.322913998961766,1,부족
247,24,사당,30,54.3,563.0,5.0,0.2,104301.0,1123,0,48.622913998961764,1,부족
248,24,사당,30,45.6,507.0,8.4,0.9,91125.0,2123,0,41.37626578992905,1,부족
249,24,사당,30,38.3,487.0,5.1,0.8,91125.0,2123,0,36.996265789929055,1,부족
250,24,사당,30,0.0,"11    503.173357
dtype: float64","11    6.585123
dtype: float64","11    0.772761
dtype: float64",0.0,2023,0,0.0,1,부족
251,25,낙성대,14,98.8,517.0,35.0,0.5,35824.0,7123,2,64.79021899213627,2,적합
252,25,낙성대,14,85.6,532.0,10.9,1.0,56860.0,8123,2,60.10584222568302,2,적합
253,25,낙성대,14,89.9,492.0,7.6,1.1,60122.0,9123,2,63.187582242218,2,적합
254,25,낙성대,14,98.4,590.0,3.9,0.8,38959.0,123,2,65.03242467939474,2,적합
255,25,낙성대,14,73.5,484.0,2.7,0.4,47190.0,1123,1,51.358464555574784,2,적합
